id,Face
0,ʕ◕ᴥ◕ʔ
1,(▀̿Ĺ̯▀̿)
2,(◣_◢)
3,щ(ಠ益ಠщ)
4,( ͡° ͜ʖ ͡°)
5,(;´༎ຶД༎ຶ`)
6,(●´ω｀●)
7,(╯°◡°）╯
8,꒰^ᆺ^ʔ
9,[˘.⚆}
10,[ʘ.ಠ|
11,{⊙o⚆:
12,{^.ಠ}
13,(˘.^}
14,{⚆.ಠ}
15,|ಥ.⊙}
16,(⚆o◉}
17,[ʘ.ಠ}
18,{⚆.♥|
19,✿⊙o¬|
20,{ʘ.^:
21,{¬ʖ⚆}
22,✿⊙.ಥ꒱
23,:ʘᴥಠ}
24,(⚆.◉|
25,[⚆.◉}
26,|⚆.X꒱
27,|˘益¬:
28,[⊙.^✿
29,꒰X.˘}
30,(⚆.^}
31,(Xo¬:
32,(Xo¬:
33,:⚆.◉}
34,|◉ᆺ⚆|
35,{ಠ.^:
36,|⊙ᴥ⚆}
37,{¬o⊙:
38,{¬ʖಠ}
39,:⚆.ʘ|
40,[¬ᆺ^✿
41,{♥ᆺ¬}
42,:◉.^✿
43,{⊙.¬}
44,:⚆.⚆:
45,(^.˘}
46,:X.◉}
47,(X.◉}
48,(◉.¬}
49,|¬益¬}
50,|¬益¬}
51,{ʘo¬}
52,(¬益^}
53,(ʘ.♥:
54,|X.ʘ:
55,|^.⚆}
56,[ಠ.˘:
57,[^.ʘ}
58,ʕ⚆.¬}
59,|˘.^|
60,[˘ʖ¬✿
61,(¬o◉:
62,(¬o◉:
63,[⚆o⚆}
64,(◉.◉}
65,:ʘoಠ|
66,(¬.ಠ}
67,[⚆ᴥ¬}
68,[⚆ᴥ¬}
69,:¬.^}
70,|♥.¬}
71,{ʘo^}
72,|˘o¬}
73,(^ᆺ˘|
74,(⊙.^}
75,꒰◉.⚆}
76,꒰◉.¬}
77,ฅ^•ﻌ•^ฅ
78,|◉.˘}
79,(˘.¬}
80,( ● Y ● )
81,:◉.ʘ|
82,꒰X෴◉}
83,|⚆.^|
84,|◉o⚆}
85,|◕.◉}
86,[⚆益◕:
87,{⚆o^|
88,[^.◉}
89,:¬.¬}
90,[^o◉}
91,|ಠ.⊙}
92,{⚆.˘|
93,|⚆.⚆}
94,[˘.¬|
95,[˘.¬|
96,|¬益⚆}
97,|ಠ.⚆|
98,꒰¬ʖ⚆✿
99,(˘.˘}
100,{⊙ʖ¬}
101,(ʘ.¬ʔ
102,(Xo˘}
103,{¬.👁}
104,(👁o♥}
105,✿^o^}
106,(⚆.ಠ|
107,(¬.^|
108,|¬ᆺX}
109,|^.˘꒱
110,[⚆.◉}
111,(👁.X}
112,(¬.◉}
113,(⊙.◉}
114,[◉.˘|
115,(◉.ಠ}
116,(◉.^}
117,(⚆.¬}
118,(⚆.⚆}
119,{⚆o⊙}
120,|⊙益⚆|
121,(^ʖಠ}
122,(^ʖ˘}
123,|◉.♥}
124,(◉.⚆}
125,|⊙.ʘ}
126,(♥.◉:
127,:ʘ.⚆:
128,|^ᆺ^✿
129,[◉.^|
130,[⊙.⊙}
131,|♥.X|
132,(◉.⊙}
133,(ಠ.◉ʔ
134,[X.ʘ꒱
135,|ʘ.¬}
136,[^.⊙:
137,(^o◉|
138,{˘.⊙|
139,:˘o^}
140,:♥.⊙|
141,{♥.⚆}
142,|♥.ʘ}
143,(ಠᆺಠ}
144,(¬.⚆|
145,[◉ʖ◉}
146,{Xᆺ˘ʔ
147,{X.ಠ꒱
148,:¬.˘:
149,|˘oಠ:
150,(^o^|
151,:¬.˘|
